,Jogos,Liga,Media,Rank,Temporada,Time,Total
126,17,Bundesliga,81.178,1,2015-2016,Borussia Dortmund,1380023
127,17,Bundesliga,75.0,2,2015-2016,Bayern München,1275000
128,17,Bundesliga,61.386,3,2015-2016,FC Schalke 04,1043559
129,17,Bundesliga,53.7,4,2015-2016,Hamburger SV,912899
130,17,Bundesliga,51.983000000000004,5,2015-2016,VfB Stuttgart,883705
131,17,Bundesliga,51.715,6,2015-2016,Bor. Mönchengladbach,879159
132,17,Bundesliga,49.70399999999999,7,2015-2016,Hertha BSC,844968
133,17,Bundesliga,48.676,8,2015-2016,1. FC Köln,827500
134,17,Bundesliga,46.676,9,2015-2016,Eintracht Frankfurt,793500
135,17,Bundesliga,41.246,10,2015-2016,Hannover 96,701188
136,17,Bundesliga,40.935,11,2015-2016,Werder Bremen,695896
137,17,Bundesliga,31.053,12,2015-2016,1. FSV Mainz 05,527901
138,17,Bundesliga,29.085,13,2015-2016,Bayer Leverkusen,494446
139,17,Bundesliga,29.017,14,2015-2016,FC Augsburg,493290
140,17,Bundesliga,28.945,15,2015-2016,VfL Wolfsburg,492067
141,17,Bundesliga,27.615,16,2015-2016,1899 Hoffenheim,469462
142,17,Bundesliga,16.647000000000002,17,2015-2016,SV Darmstadt 98,283000
143,17,Bundesliga,14.835999999999999,18,2015-2016,FC Ingolstadt 04,252215
145,17,Bundesliga,79.653,1,2016-2017,Borussia Dortmund,1354105
146,17,Bundesliga,75.0,2,2016-2017,Bayern München,1275000
147,17,Bundesliga,60.703,3,2016-2017,FC Schalke 04,1031953
148,17,Bundesliga,52.341,4,2016-2017,Hamburger SV,889798
149,17,Bundesliga,51.494,5,2016-2017,Bor. Mönchengladbach,875400
150,17,Bundesliga,50.266999999999996,6,2016-2017,Hertha BSC,854539
151,17,Bundesliga,49.571000000000005,7,2016-2017,1. FC Köln,842700
152,17,Bundesliga,49.176,8,2016-2017,Eintracht Frankfurt,836000
153,17,Bundesliga,41.45399999999999,9,2016-2017,RB Leipzig,704720
154,17,Bundesliga,40.881,10,2016-2017,Werder Bremen,694974
155,17,Bundesliga,29.096,11,2016-2017,1. FSV Mainz 05,494627
156,17,Bundesliga,28.428,12,2016-2017,Bayer Leverkusen,483269
157,17,Bundesliga,28.171999999999997,13,2016-2017,FC Augsburg,478931
158,17,Bundesliga,28.155,14,2016-2017,1899 Hoffenheim,478640
159,17,Bundesliga,27.586,15,2016-2017,VfL Wolfsburg,468962
160,17,Bundesliga,23.959,16,2016-2017,SC Freiburg,407300
161,17,Bundesliga,16.753,17,2016-2017,SV Darmstadt 98,284800
162,17,Bundesliga,14.600999999999999,18,2016-2017,FC Ingolstadt 04,248209
164,17,Bundesliga,79.49600000000001,1,2017-2018,Borussia Dortmund,1351439
165,17,Bundesliga,75.0,2,2017-2018,Bayern München,1275000
166,17,Bundesliga,61.297,3,2017-2018,FC Schalke 04,1042041
167,17,Bundesliga,56.278,4,2017-2018,VfB Stuttgart,956722
168,17,Bundesliga,50.986000000000004,5,2017-2018,Bor. Mönchengladbach,866755
169,17,Bundesliga,50.656000000000006,6,2017-2018,Hamburger SV,861146
170,17,Bundesliga,49.159,7,2017-2018,Eintracht Frankfurt,835700
171,17,Bundesliga,48.776,8,2017-2018,1. FC Köln,829200
172,17,Bundesliga,45.318999999999996,9,2017-2018,Hertha BSC,770422
173,17,Bundesliga,42.706,10,2017-2018,Hannover 96,726000
174,17,Bundesliga,40.823,11,2017-2018,Werder Bremen,693992
175,17,Bundesliga,39.397,12,2017-2018,RB Leipzig,669741
176,17,Bundesliga,28.766,13,2017-2018,1. FSV Mainz 05,489027
177,17,Bundesliga,28.715999999999998,14,2017-2018,1899 Hoffenheim,488180
178,17,Bundesliga,28.415,15,2017-2018,Bayer Leverkusen,483063
179,17,Bundesliga,28.238000000000003,16,2017-2018,FC Augsburg,480049
180,17,Bundesliga,25.713,17,2017-2018,VfL Wolfsburg,437119
181,17,Bundesliga,23.894000000000002,18,2017-2018,SC Freiburg,406200
183,19,Premier_league,75.286,1,2015-2016,Manchester United,1430430
184,19,Premier_league,59.943999999999996,2,2015-2016,Arsenal FC,1138934
185,19,Premier_league,54.041000000000004,3,2015-2016,Manchester City,1026776
186,19,Premier_league,49.754,4,2015-2016,Newcastle United,945317
187,19,Premier_league,43.91,5,2015-2016,Liverpool FC,834285
188,19,Premier_league,43.071000000000005,6,2015-2016,Sunderland AFC,818351
189,19,Premier_league,41.5,7,2015-2016,Chelsea FC,788506
190,19,Premier_league,38.124,8,2015-2016,Everton FC,724356
191,19,Premier_league,35.775999999999996,9,2015-2016,Tottenham Hotspur,679741
192,19,Premier_league,34.91,10,2015-2016,West Ham United,663291
193,19,Premier_league,33.69,11,2015-2016,Aston Villa,640112
194,19,Premier_league,32.021,12,2015-2016,Leicester City,608393
195,19,Premier_league,30.750999999999998,13,2015-2016,Southampton FC,584266
196,19,Premier_league,27.534000000000002,14,2015-2016,Stoke City,523148
197,19,Premier_league,26.971999999999998,15,2015-2016,Norwich City,512470
198,19,Premier_league,24.636,16,2015-2016,Crystal Palace,468083
199,19,Premier_league,24.631,17,2015-2016,West Bromwich Albion,467995
200,19,Premier_league,20.711,18,2015-2016,Swansea City,393508
201,19,Premier_league,20.594,19,2015-2016,Watford FC,391281
202,19,Premier_league,11.189,20,2015-2016,AFC Bournemouth,212586
204,19,Premier_league,75.29,1,2016-2017,Manchester United,1430502
205,19,Premier_league,59.957,2,2016-2017,Arsenal FC,1139177
206,19,Premier_league,56.972,3,2016-2017,West Ham United,1082464
207,19,Premier_league,54.019,4,2016-2017,Manchester City,1026358
208,19,Premier_league,53.016000000000005,5,2016-2017,Liverpool FC,1007311
209,19,Premier_league,41.508,6,2016-2017,Chelsea FC,788645
210,19,Premier_league,41.287,7,2016-2017,Sunderland AFC,784450
211,19,Premier_league,39.31,8,2016-2017,Everton FC,746890
212,19,Premier_league,31.893,9,2016-2017,Leicester City,605968
213,19,Premier_league,31.639,10,2016-2017,Tottenham Hotspur,601143
214,19,Premier_league,30.936,11,2016-2017,Southampton FC,587787
215,19,Premier_league,30.449,12,2016-2017,Middlesbrough FC,578539
216,19,Premier_league,27.433000000000003,13,2016-2017,Stoke City,521230
217,19,Premier_league,25.160999999999998,14,2016-2017,Crystal Palace,478052
218,19,Premier_league,23.875999999999998,15,2016-2017,West Bromwich Albion,453646
219,19,Premier_league,20.761,16,2016-2017,Hull City,394466
220,19,Premier_league,20.619,17,2016-2017,Swansea City,391766
221,19,Premier_league,20.570999999999998,18,2016-2017,Watford FC,390849
222,19,Premier_league,20.558000000000003,19,2016-2017,Burnley FC,390609
223,19,Premier_league,11.182,20,2016-2017,AFC Bournemouth,212464
225,19,Premier_league,74.976,1,2017-2018,Manchester United,1424538
226,19,Premier_league,67.953,2,2017-2018,Tottenham Hotspur,1291103
227,19,Premier_league,59.323,3,2017-2018,Arsenal FC,1127133
228,19,Premier_league,56.885,4,2017-2018,West Ham United,1080808
229,19,Premier_league,53.812,5,2017-2018,Manchester City,1022434
230,19,Premier_league,53.049,6,2017-2018,Liverpool FC,1007931
231,19,Premier_league,51.992,7,2017-2018,Newcastle United,987844
232,19,Premier_league,41.282,8,2017-2018,Chelsea FC,784353
233,19,Premier_league,38.797,9,2017-2018,Everton FC,737143
234,19,Premier_league,31.583000000000002,10,2017-2018,Leicester City,600083
235,19,Premier_league,30.794,11,2017-2018,Southampton FC,585084
236,19,Premier_league,30.405,12,2017-2018,Brighton & Hove Albion,577701
237,19,Premier_league,29.28,13,2017-2018,Stoke City,556317
238,19,Premier_league,25.063000000000002,14,2017-2018,Crystal Palace,476189
239,19,Premier_league,24.52,15,2017-2018,West Bromwich Albion,465878
240,19,Premier_league,24.04,16,2017-2018,Huddersfield Town,456757
241,19,Premier_league,20.688000000000002,17,2017-2018,Burnley FC,393080
242,19,Premier_league,20.623,18,2017-2018,Swansea City,391830
243,19,Premier_league,20.230999999999998,19,2017-2018,Watford FC,384388
244,19,Premier_league,10.64,20,2017-2018,AFC Bournemouth,202154
