,,Pais,Liga,Jogador,Time,Temporada,ass,gols,rank,Ano_inicio
85,,England,Premier_league,Gary Cahill,Chelsea FC,2016-2017,0,6,86.,2016
86,,England,Premier_league,Callum Wilson,AFC Bournemouth,2016-2017,0,6,,2016
87,,Netherlands,Premier_league,Patrick van Aanholt,Sunderland AFCCrystal Palace,2016-2017,1,5,,2016
88,,Scotland,Premier_league,James Morrison,West Bromwich Albion,2016-2017,1,5,,2016
89,,Belgium,Premier_league,Michy Batshuayi,Chelsea FC,2016-2017,1,5,,2016
90,,England,Premier_league,Marcus Rashford,Manchester United,2016-2017,1,5,,2016
91,,Switzerland,Premier_league,Xherdan Shaqiri,Stoke City,2016-2017,2,4,,2016
92,,Ireland,Premier_league,Jon Walters,Stoke City,2016-2017,2,4,,2016
93,,Spain,Premier_league,Nolito,Manchester City,2016-2017,2,4,,2016
94,,Algeria,Premier_league,Sofiane Féghouli,West Ham United,2016-2017,3,3,,2016
95,,Nigeria,Premier_league,Alex Iwobi,Arsenal FC,2016-2017,3,3,,2016
96,,Greece,Premier_league,José Holebas,Watford FC,2016-2017,4,2,,2016
97,,Austria,Premier_league,Christian Fuchs,Leicester City,2016-2017,4,2,,2016
98,,England,Premier_league,Ryan Bertrand,Southampton FC,2016-2017,4,2,,2016
99,,England,Premier_league,Adam Smith,AFC Bournemouth,2016-2017,5,1,,2016
100,,Ivory Coast,Premier_league,Yaya Touré,Manchester City,2016-2017,0,5,101.,2016
101,,Armenia,Premier_league,Henrikh Mkhitaryan,Manchester United,2016-2017,1,4,,2016
102,,Kenya,Premier_league,Victor Wanyama,Tottenham Hotspur,2016-2017,1,4,,2016
103,,Senegal,Premier_league,Oumar Niasse,Hull City,2016-2017,1,4,,2016
104,,England,Premier_league,Phil Jagielka,Everton FC,2016-2017,2,3,,2016
105,,Wales,Premier_league,Hal Robson-Kanu,West Bromwich Albion,2016-2017,2,3,,2016
106,,Nigeria,Premier_league,Victor Moses,Chelsea FC,2016-2017,2,3,,2016
107,,Scotland,Premier_league,Darren Fletcher,West Bromwich Albion,2016-2017,3,2,,2016
108,,England,Premier_league,Tom Davies,Everton FC,2016-2017,3,2,,2016
109,,Uruguay,Premier_league,Gastón Ramírez,Middlesbrough FC,2016-2017,3,2,,2016
110,,England,Premier_league,Leighton Baines,Everton FC,2016-2017,3,2,,2016
111,,Spain,Premier_league,Héctor Bellerín,Arsenal FC,2016-2017,4,1,,2016
112,,Wales,Premier_league,Aaron Ramsey,Arsenal FC,2016-2017,4,1,,2016
113,,Congo DR,Premier_league,Yannick Bolasie,Everton FCCrystal Palace,2016-2017,4,1,,2016
114,,England,Premier_league,Jordan Henderson,Liverpool FC,2016-2017,4,1,,2016
